"","NA.","Row","Tree","Height","pruning","id","Rowf","Treef"
"1","1N4BT",1,1,143,"A","X1N4BT","1","1"
"2","1N4BV",1,2,167,"A","X1N4BV","1","2"
"3","1N4BW",1,3,160,"A","X1N4BW","1","3"
"4","1N4BX",1,4,148,"A","X1N4BX","1","4"
"5","1N4BY",1,5,102,"A","X1N4BY","1","5"
"6","1N4BZ",1,6,148,"A","X1N4BZ","1","6"
"7","1N4C0",1,7,102,"A","X1N4C0","1","7"
"8","1N4C1",1,8,169,"A","X1N4C1","1","8"
"9","1N4C2",1,9,153,"A","X1N4C2","1","9"
"10","1N4C3",1,10,141,"A","X1N4C3","1","10"
"11","1N4C4",1,11,164,"A","X1N4C4","1","11"
"12","1N4C5",1,12,158,"A","X1N4C5","1","12"
"13","1N4C6",1,13,153,"A","X1N4C6","1","13"
"14","1N4C7",1,14,129,"A","X1N4C7","1","14"
"15","1N4C8",1,15,160,"A","X1N4C8","1","15"
"16","1N4C9",1,16,159,"A","X1N4C9","1","16"
"17","1N4CA",1,17,173,"A","X1N4CA","1","17"
"18","1N4CB",1,18,169,"A","X1N4CB","1","18"
"19","1N4CC",1,19,163,"A","X1N4CC","1","19"
"20","1N4CD",1,20,169,"A","X1N4CD","1","20"
"21","1N4CE",1,21,153,"A","X1N4CE","1","21"
"22","1N4CF",1,22,NA,"A","X1N4CF","1","22"
"23","1N4CG",1,23,153,"A","X1N4CG","1","23"
"24","1N4CH",1,24,145,"A","X1N4CH","1","24"
"25","1N4CJ",1,25,163,"A","X1N4CJ","1","25"
"26","1N4CK",1,26,149,"A","X1N4CK","1","26"
"27","1N4CL",1,27,157,"A","X1N4CL","1","27"
"28","1N4CN",1,28,139,"A","X1N4CN","1","28"
"29","1N4CP",1,29,189,"A","X1N4CP","1","29"
"30","1N4CR",1,30,168,"A","X1N4CR","1","30"
"31","1N4CS",1,31,178,"A","X1N4CS","1","31"
"32","1N4CT",1,32,156,"A","X1N4CT","1","32"
"33","1N4CV",1,33,185,"A","X1N4CV","1","33"
"34","1N4CW",1,34,164,"A","X1N4CW","1","34"
"35","1N4CX",1,35,163,"A","X1N4CX","1","35"
"36","1N4CY",1,36,152,"A","X1N4CY","1","36"
"37","1N4D0",1,37,170,"A","X1N4D0","1","37"
"38","1N4D2",1,38,154,"A","X1N4D2","1","38"
"39","1N4D3",1,39,170,"A","X1N4D3","1","39"
"40","1N4D4",1,40,147,"A","X1N4D4","1","40"
"41","1N4D5",1,41,156,"A","X1N4D5","1","41"
"42","1N4D6",1,42,141,"A","X1N4D6","1","42"
"43","1N4D7",1,43,157,"A","X1N4D7","1","43"
"44","1N4D8",1,44,153,"A","X1N4D8","1","44"
"45","1N4D9",1,45,125,"A","X1N4D9","1","45"
"46","1N4DA",1,46,153,"A","X1N4DA","1","46"
"47","1N4DC",1,47,140,"A","X1N4DC","1","47"
"48","1N4DD",1,48,136,"A","X1N4DD","1","48"
"49","1N4DE",1,49,132,"A","X1N4DE","1","49"
"50","1N4DF",1,50,158,"A","X1N4DF","1","50"
"51","1N4DG",2,1,142,"A","X1N4DG","2","1"
"52","1N4DH",2,2,155,"A","X1N4DH","2","2"
"53","1N4DJ",2,3,124,"A","X1N4DJ","2","3"
"54","1N4DK",2,4,125,"A","X1N4DK","2","4"
"55","1N4DL",2,5,90,"A","X1N4DL","2","5"
"56","1N4DM",2,6,120,"A","X1N4DM","2","6"
"57","1N4DP",2,7,118,"A","X1N4DP","2","7"
"58","1N4DR",2,8,136,"A","X1N4DR","2","8"
"59","1N4DS",2,9,128,"A","X1N4DS","2","9"
"60","1N4DT",2,10,165,"A","X1N4DT","2","10"
"61","1N4DV",2,11,146,"A","X1N4DV","2","11"
"62","1N4DW",2,12,155,"A","X1N4DW","2","12"
"63","1N4DX",2,13,154,"A","X1N4DX","2","13"
"64","1N4DY",2,14,153,"A","X1N4DY","2","14"
"65","1N4DZ",2,15,140,"A","X1N4DZ","2","15"
"66","1N4E0",2,16,135,"A","X1N4E0","2","16"
"67","1N4E1",2,17,125,"A","X1N4E1","2","17"
"68","1N4E2",2,18,119,"A","X1N4E2","2","18"
"69","1N4E3",2,19,131,"A","X1N4E3","2","19"
"70","1N4E4",2,20,138,"A","X1N4E4","2","20"
"71","1N4E6",2,21,138,"A","X1N4E6","2","21"
"72","1N4E7",2,22,NA,"A","X1N4E7","2","22"
"73","1N4E8",2,23,151,"A","X1N4E8","2","23"
"74","1N4E9",2,24,170,"A","X1N4E9","2","24"
"75","1N4EA",2,25,129,"A","X1N4EA","2","25"
"76","1N4EB",2,26,105,"A","X1N4EB","2","26"
"77","1N4EC",2,27,168,"B","X1N4EC","2","27"
"78","1N4ED",2,28,120,"B","X1N4ED","2","28"
"79","1N4EE",2,29,166,"B","X1N4EE","2","29"
"80","1N4EG",2,30,183,"B","X1N4EG","2","30"
"81","1N4EH",2,31,189,"B","X1N4EH","2","31"
"82","1N4EJ",2,32,192,"B","X1N4EJ","2","32"
"83","1N4EK",2,33,212,"B","X1N4EK","2","33"
"84","1N4EL",2,34,152,"B","X1N4EL","2","34"
"85","1N4EM",2,35,190,"B","X1N4EM","2","35"
"86","1N4EN",2,36,204,"B","X1N4EN","2","36"
"87","1N4EP",2,37,180,"B","X1N4EP","2","37"
"88","1N4ER",2,38,192,"B","X1N4ER","2","38"
"89","1N4ES",2,39,208,"B","X1N4ES","2","39"
"90","1N4ET",2,40,180,"B","X1N4ET","2","40"
"91","1N4EV",2,41,195,"B","X1N4EV","2","41"
"92","1N4EW",2,42,172,"B","X1N4EW","2","42"
"93","1N4EX",2,43,209,"B","X1N4EX","2","43"
"94","1N4EY",2,44,202,"B","X1N4EY","2","44"
"95","1N4EZ",2,45,167,"B","X1N4EZ","2","45"
"96","1N4F0",2,46,176,"B","X1N4F0","2","46"
"97","1N4F1",2,47,180,"B","X1N4F1","2","47"
"98","1N4F2",2,48,135,"B","X1N4F2","2","48"
"99","1N4F3",2,49,188,"B","X1N4F3","2","49"
"100","1N4F4",2,50,162,"B","X1N4F4","2","50"
"101","1N4F6",3,2,175,"B","X1N4F6","3","2"
"102","1N4F7",3,3,180,"B","X1N4F7","3","3"
"103","1N4FA",3,6,133,"B","X1N4FA","3","6"
"104","1N4FB",3,7,165,"B","X1N4FB","3","7"
"105","1N4FC",3,8,141,"B","X1N4FC","3","8"
"106","1N4FD",3,9,149,"B","X1N4FD","3","9"
"107","1N4FE",3,10,185,"B","X1N4FE","3","10"
"108","1N4FF",3,11,170,"B","X1N4FF","3","11"
"109","1N4FG",3,12,201,"B","X1N4FG","3","12"
"110","1N4FH",3,13,162,"B","X1N4FH","3","13"
"111","1N4FJ",3,14,166,"B","X1N4FJ","3","14"
"112","1N4FL",3,16,188,"B","X1N4FL","3","16"
"113","1N4FM",3,17,166,"B","X1N4FM","3","17"
"114","1N4FN",3,18,172,"B","X1N4FN","3","18"
"115","1N4FP",3,19,179,"B","X1N4FP","3","19"
"116","1N4FR",3,20,159,"B","X1N4FR","3","20"
"117","1N4FS",3,21,164,"B","X1N4FS","3","21"
"118","1N4FT",3,22,201,"B","X1N4FT","3","22"
"119","1N4FV",3,23,177,"B","X1N4FV","3","23"
"120","1N4FW",3,24,169,"B","X1N4FW","3","24"
"121","1N4FX",3,25,160,"B","X1N4FX","3","25"
"122","1N4FY",3,26,180,"B","X1N4FY","3","26"
"123","1N4FZ",3,27,182,"B","X1N4FZ","3","27"
"124","1N4G0",3,28,166,"B","X1N4G0","3","28"
"125","1N4G1",3,29,183,"B","X1N4G1","3","29"
"126","1N4G2",3,30,167,"B","X1N4G2","3","30"
"127","1N4G3",3,31,198,"B","X1N4G3","3","31"
"128","1N4G4",3,32,193,"B","X1N4G4","3","32"
"129","1N4G5",3,33,198,"B","X1N4G5","3","33"
"130","1N4G6",3,34,197,"B","X1N4G6","3","34"
"131","1N4G7",3,35,154,"B","X1N4G7","3","35"
"132","1N4G8",3,36,169,"B","X1N4G8","3","36"
"133","1N4G9",3,37,164,"B","X1N4G9","3","37"
"134","1N4GA",3,38,181,"B","X1N4GA","3","38"
"135","1N4GD",3,41,182,"B","X1N4GD","3","41"
"136","1N4GE",3,42,203,"B","X1N4GE","3","42"
"137","1N4GF",3,43,205,"B","X1N4GF","3","43"
"138","1N4GG",3,44,150,"B","X1N4GG","3","44"
"139","1N4GH",3,45,182,"B","X1N4GH","3","45"
"140","1N4GJ",3,46,190,"B","X1N4GJ","3","46"
"141","1N4GK",3,47,180,"B","X1N4GK","3","47"
"142","1N4GL",3,48,162,"B","X1N4GL","3","48"
"143","1N4GM",3,49,169,"B","X1N4GM","3","49"
"144","1N4GN",3,50,200,"B","X1N4GN","3","50"
"145","1N4GP",4,50,165,"B","X1N4GP","4","50"
"146","1N4GS",4,49,214,"B","X1N4GS","4","49"
"147","1N4GT",4,48,181,"B","X1N4GT","4","48"
"148","1N4GV",4,47,189,"B","X1N4GV","4","47"
"149","1N4GW",4,46,180,"B","X1N4GW","4","46"
"150","1N4GX",4,45,198,"B","X1N4GX","4","45"
"151","1N4GY",4,44,180,"B","X1N4GY","4","44"
"152","1N4GZ",4,43,208,"B","X1N4GZ","4","43"
"153","1N4H0",4,42,174,"B","X1N4H0","4","42"
"154","1N4H1",4,41,197,"B","X1N4H1","4","41"
"155","1N4H2",4,40,222,"B","X1N4H2","4","40"
"156","1N4H3",4,39,174,"B","X1N4H3","4","39"
"157","1N4H4",4,38,207,"B","X1N4H4","4","38"
"158","1N4H5",4,37,180,"B","X1N4H5","4","37"
"159","1N4H6",4,36,194,"B","X1N4H6","4","36"
"160","1N4H7",4,35,220,"B","X1N4H7","4","35"
"161","1N4H8",4,34,192,"B","X1N4H8","4","34"
"162","1N4H9",4,33,173,"B","X1N4H9","4","33"
"163","1N4HA",4,32,186,"B","X1N4HA","4","32"
"164","1N4HB",4,31,206,"B","X1N4HB","4","31"
"165","1N4HC",4,30,169,"B","X1N4HC","4","30"
"166","1N4HD",4,29,193,"B","X1N4HD","4","29"
"167","1N4HE",4,28,167,"B","X1N4HE","4","28"
"168","1N4HF",4,27,154,"B","X1N4HF","4","27"
"169","1N4HG",4,26,179,"B","X1N4HG","4","26"
"170","1N4HH",4,25,187,"B","X1N4HH","4","25"
"171","1N4HJ",4,24,198,"B","X1N4HJ","4","24"
"172","1N4HK",4,23,178,"B","X1N4HK","4","23"
